,company_id,day,employee_headcount
272,9.0,2011-02-14,529.0
273,10.0,2011-02-14,479.0
274,11.0,2011-02-14,12.0
275,12.0,2011-02-14,12.0
276,1.0,2011-02-15,4623.0
277,2.0,2011-02-15,2206.0
278,3.0,2011-02-15,1531.0
279,4.0,2011-02-15,1153.0
280,5.0,2011-02-15,985.0
281,6.0,2011-02-15,713.0
282,7.0,2011-02-15,693.0
283,8.0,2011-02-15,579.0
284,9.0,2011-02-15,529.0
285,10.0,2011-02-15,479.0
286,11.0,2011-02-15,12.0
287,12.0,2011-02-15,12.0
288,1.0,2011-02-16,4623.0
289,2.0,2011-02-16,2206.0
290,3.0,2011-02-16,1531.0
291,4.0,2011-02-16,1153.0
292,5.0,2011-02-16,985.0
293,6.0,2011-02-16,713.0
294,7.0,2011-02-16,693.0
295,8.0,2011-02-16,579.0
296,9.0,2011-02-16,529.0
297,10.0,2011-02-16,479.0
298,11.0,2011-02-16,12.0
299,12.0,2011-02-16,12.0
300,1.0,2011-02-17,4623.0
301,2.0,2011-02-17,2206.0
302,3.0,2011-02-17,1531.0
303,4.0,2011-02-17,1153.0
304,5.0,2011-02-17,985.0
305,6.0,2011-02-17,713.0
306,7.0,2011-02-17,693.0
307,8.0,2011-02-17,579.0
308,9.0,2011-02-17,529.0
309,10.0,2011-02-17,479.0
310,11.0,2011-02-17,12.0
311,12.0,2011-02-17,12.0
312,1.0,2011-02-18,4623.0
313,2.0,2011-02-18,2206.0
314,3.0,2011-02-18,1531.0
315,4.0,2011-02-18,1153.0
316,5.0,2011-02-18,985.0
317,6.0,2011-02-18,713.0
318,7.0,2011-02-18,693.0
319,8.0,2011-02-18,579.0
320,9.0,2011-02-18,529.0
321,10.0,2011-02-18,479.0
322,11.0,2011-02-18,12.0
323,12.0,2011-02-18,12.0
324,1.0,2011-02-19,4623.0
325,2.0,2011-02-19,2206.0
326,3.0,2011-02-19,1531.0
327,4.0,2011-02-19,1153.0
328,5.0,2011-02-19,985.0
329,6.0,2011-02-19,713.0
330,7.0,2011-02-19,693.0
331,8.0,2011-02-19,579.0
332,9.0,2011-02-19,529.0
333,10.0,2011-02-19,479.0
334,11.0,2011-02-19,12.0
335,12.0,2011-02-19,12.0
336,1.0,2011-02-20,4623.0
337,2.0,2011-02-20,2206.0
338,3.0,2011-02-20,1531.0
339,4.0,2011-02-20,1153.0
340,5.0,2011-02-20,985.0
341,6.0,2011-02-20,713.0
342,7.0,2011-02-20,693.0
343,8.0,2011-02-20,579.0
344,9.0,2011-02-20,529.0
345,10.0,2011-02-20,479.0
346,11.0,2011-02-20,12.0
347,12.0,2011-02-20,12.0
348,1.0,2011-02-21,4623.0
349,2.0,2011-02-21,2206.0
350,3.0,2011-02-21,1531.0
351,4.0,2011-02-21,1153.0
352,5.0,2011-02-21,985.0
353,6.0,2011-02-21,713.0
354,7.0,2011-02-21,693.0
355,8.0,2011-02-21,579.0
356,9.0,2011-02-21,529.0
357,10.0,2011-02-21,479.0
358,11.0,2011-02-21,12.0
359,12.0,2011-02-21,12.0
360,1.0,2011-02-22,4623.0
361,2.0,2011-02-22,2206.0
362,3.0,2011-02-22,1531.0
363,4.0,2011-02-22,1153.0
364,5.0,2011-02-22,985.0
365,6.0,2011-02-22,713.0
366,7.0,2011-02-22,693.0
367,8.0,2011-02-22,579.0
368,9.0,2011-02-22,529.0
369,10.0,2011-02-22,479.0
370,11.0,2011-02-22,12.0
371,12.0,2011-02-22,12.0
372,1.0,2011-02-23,4623.0
373,2.0,2011-02-23,2206.0
374,3.0,2011-02-23,1531.0
375,4.0,2011-02-23,1153.0
376,5.0,2011-02-23,985.0
377,6.0,2011-02-23,713.0
378,7.0,2011-02-23,693.0
379,8.0,2011-02-23,579.0
380,9.0,2011-02-23,529.0
381,10.0,2011-02-23,479.0
382,11.0,2011-02-23,12.0
383,12.0,2011-02-23,12.0
384,1.0,2011-02-24,4623.0
385,2.0,2011-02-24,2206.0
386,3.0,2011-02-24,1531.0
387,4.0,2011-02-24,1153.0
388,5.0,2011-02-24,985.0
389,6.0,2011-02-24,713.0
390,7.0,2011-02-24,693.0
391,8.0,2011-02-24,579.0
392,9.0,2011-02-24,529.0
393,10.0,2011-02-24,479.0
394,11.0,2011-02-24,12.0
395,12.0,2011-02-24,12.0
396,1.0,2011-02-25,4623.0
397,2.0,2011-02-25,2206.0
398,3.0,2011-02-25,1531.0
399,4.0,2011-02-25,1153.0
400,5.0,2011-02-25,985.0
401,6.0,2011-02-25,713.0
402,7.0,2011-02-25,693.0
403,8.0,2011-02-25,579.0
404,9.0,2011-02-25,529.0
405,10.0,2011-02-25,479.0
406,11.0,2011-02-25,12.0
407,12.0,2011-02-25,12.0
408,1.0,2011-02-26,4623.0
409,2.0,2011-02-26,2206.0
410,3.0,2011-02-26,1531.0
411,4.0,2011-02-26,1153.0
412,5.0,2011-02-26,985.0
413,6.0,2011-02-26,713.0
414,7.0,2011-02-26,693.0
415,8.0,2011-02-26,579.0
416,9.0,2011-02-26,529.0
417,10.0,2011-02-26,479.0
418,11.0,2011-02-26,12.0
419,12.0,2011-02-26,12.0
420,1.0,2011-02-27,4623.0
421,2.0,2011-02-27,2206.0
422,3.0,2011-02-27,1531.0
423,4.0,2011-02-27,1153.0
424,5.0,2011-02-27,985.0
425,6.0,2011-02-27,713.0
426,7.0,2011-02-27,693.0
427,8.0,2011-02-27,579.0
428,9.0,2011-02-27,529.0
429,10.0,2011-02-27,479.0
430,11.0,2011-02-27,12.0
431,12.0,2011-02-27,12.0
432,1.0,2011-02-28,4623.0
433,2.0,2011-02-28,2206.0
434,3.0,2011-02-28,1531.0
435,4.0,2011-02-28,1153.0
436,5.0,2011-02-28,985.0
437,6.0,2011-02-28,713.0
438,7.0,2011-02-28,693.0
439,8.0,2011-02-28,579.0
440,9.0,2011-02-28,529.0
441,10.0,2011-02-28,479.0
442,11.0,2011-02-28,12.0
443,12.0,2011-02-28,12.0
444,1.0,2011-03-01,4623.0
445,2.0,2011-03-01,2206.0
446,3.0,2011-03-01,1531.0
447,4.0,2011-03-01,1153.0
448,5.0,2011-03-01,985.0
449,6.0,2011-03-01,713.0
450,7.0,2011-03-01,693.0
451,8.0,2011-03-01,579.0
452,9.0,2011-03-01,529.0
453,10.0,2011-03-01,479.0
454,11.0,2011-03-01,12.0
455,12.0,2011-03-01,12.0
456,1.0,2011-03-02,4623.0
457,2.0,2011-03-02,2206.0
458,3.0,2011-03-02,1531.0
459,4.0,2011-03-02,1153.0
460,5.0,2011-03-02,985.0
461,6.0,2011-03-02,713.0
462,7.0,2011-03-02,693.0
463,8.0,2011-03-02,579.0
464,9.0,2011-03-02,529.0
465,10.0,2011-03-02,479.0
466,11.0,2011-03-02,12.0
467,12.0,2011-03-02,12.0
468,1.0,2011-03-03,4623.0
469,2.0,2011-03-03,2206.0
470,3.0,2011-03-03,1531.0
471,4.0,2011-03-03,1153.0
472,5.0,2011-03-03,985.0
473,6.0,2011-03-03,713.0
474,7.0,2011-03-03,693.0
475,8.0,2011-03-03,579.0
476,9.0,2011-03-03,529.0
477,10.0,2011-03-03,479.0
478,11.0,2011-03-03,12.0
479,12.0,2011-03-03,12.0
480,1.0,2011-03-04,4623.0
481,2.0,2011-03-04,2206.0
482,3.0,2011-03-04,1531.0
483,4.0,2011-03-04,1153.0
484,5.0,2011-03-04,985.0
485,6.0,2011-03-04,713.0
486,7.0,2011-03-04,693.0
487,8.0,2011-03-04,579.0
488,9.0,2011-03-04,529.0
489,10.0,2011-03-04,479.0
490,11.0,2011-03-04,12.0
491,12.0,2011-03-04,12.0
492,1.0,2011-03-05,4623.0
493,2.0,2011-03-05,2206.0
494,3.0,2011-03-05,1531.0
495,4.0,2011-03-05,1153.0
496,5.0,2011-03-05,985.0
497,6.0,2011-03-05,713.0
498,7.0,2011-03-05,693.0
499,8.0,2011-03-05,579.0
500,9.0,2011-03-05,529.0
501,10.0,2011-03-05,479.0
502,11.0,2011-03-05,12.0
503,12.0,2011-03-05,12.0
504,1.0,2011-03-06,4623.0
505,2.0,2011-03-06,2206.0
506,3.0,2011-03-06,1531.0
507,4.0,2011-03-06,1153.0
508,5.0,2011-03-06,985.0
509,6.0,2011-03-06,713.0
510,7.0,2011-03-06,693.0
511,8.0,2011-03-06,579.0
512,9.0,2011-03-06,529.0
513,10.0,2011-03-06,479.0
514,11.0,2011-03-06,12.0
515,12.0,2011-03-06,12.0
516,1.0,2011-03-07,4624.0
517,2.0,2011-03-07,2206.0
518,3.0,2011-03-07,1531.0
519,4.0,2011-03-07,1153.0
520,5.0,2011-03-07,985.0
521,6.0,2011-03-07,713.0
522,7.0,2011-03-07,693.0
523,8.0,2011-03-07,579.0
524,9.0,2011-03-07,529.0
525,10.0,2011-03-07,479.0
526,11.0,2011-03-07,12.0
527,12.0,2011-03-07,12.0
528,1.0,2011-03-08,4624.0
529,2.0,2011-03-08,2206.0
530,3.0,2011-03-08,1531.0
531,4.0,2011-03-08,1153.0
532,5.0,2011-03-08,985.0
533,6.0,2011-03-08,713.0
534,7.0,2011-03-08,693.0
535,8.0,2011-03-08,579.0
536,9.0,2011-03-08,529.0
537,10.0,2011-03-08,479.0
538,11.0,2011-03-08,12.0
539,12.0,2011-03-08,12.0
540,1.0,2011-03-09,4624.0
541,2.0,2011-03-09,2206.0
542,3.0,2011-03-09,1531.0
543,4.0,2011-03-09,1153.0
544,5.0,2011-03-09,985.0
545,6.0,2011-03-09,713.0
546,7.0,2011-03-09,693.0
547,8.0,2011-03-09,579.0
548,9.0,2011-03-09,529.0
549,10.0,2011-03-09,479.0
550,11.0,2011-03-09,12.0
551,12.0,2011-03-09,12.0
552,1.0,2011-03-10,4624.0
553,2.0,2011-03-10,2206.0
554,3.0,2011-03-10,1531.0
555,4.0,2011-03-10,1153.0
556,5.0,2011-03-10,985.0
557,6.0,2011-03-10,713.0
558,7.0,2011-03-10,693.0
559,8.0,2011-03-10,579.0
560,9.0,2011-03-10,529.0
561,10.0,2011-03-10,479.0
562,11.0,2011-03-10,12.0
563,12.0,2011-03-10,12.0
564,1.0,2011-03-11,4624.0
565,2.0,2011-03-11,2206.0
566,3.0,2011-03-11,1531.0
567,4.0,2011-03-11,1153.0
568,5.0,2011-03-11,985.0
569,6.0,2011-03-11,713.0
570,7.0,2011-03-11,693.0
571,8.0,2011-03-11,579.0
572,9.0,2011-03-11,529.0
573,10.0,2011-03-11,479.0
574,11.0,2011-03-11,12.0
575,12.0,2011-03-11,12.0
576,1.0,2011-03-12,4624.0
577,2.0,2011-03-12,2206.0
578,3.0,2011-03-12,1531.0
579,4.0,2011-03-12,1153.0
580,5.0,2011-03-12,985.0
581,6.0,2011-03-12,713.0
582,7.0,2011-03-12,693.0
583,8.0,2011-03-12,579.0
584,9.0,2011-03-12,529.0
585,10.0,2011-03-12,479.0
586,11.0,2011-03-12,12.0
587,12.0,2011-03-12,12.0
588,1.0,2011-03-13,4624.0
589,2.0,2011-03-13,2206.0
590,3.0,2011-03-13,1531.0
591,4.0,2011-03-13,1153.0
592,5.0,2011-03-13,985.0
593,6.0,2011-03-13,713.0
594,7.0,2011-03-13,693.0
595,8.0,2011-03-13,579.0
596,9.0,2011-03-13,529.0
597,10.0,2011-03-13,479.0
598,11.0,2011-03-13,12.0
599,12.0,2011-03-13,12.0
600,1.0,2011-03-14,4624.0
601,2.0,2011-03-14,2206.0
602,3.0,2011-03-14,1531.0
603,4.0,2011-03-14,1153.0
604,5.0,2011-03-14,985.0
605,6.0,2011-03-14,713.0
606,7.0,2011-03-14,693.0
607,8.0,2011-03-14,579.0
608,9.0,2011-03-14,529.0
609,10.0,2011-03-14,479.0
610,11.0,2011-03-14,12.0
611,12.0,2011-03-14,12.0
612,1.0,2011-03-15,4624.0
613,2.0,2011-03-15,2206.0
614,3.0,2011-03-15,1531.0
615,4.0,2011-03-15,1153.0
616,5.0,2011-03-15,985.0
617,6.0,2011-03-15,713.0
618,7.0,2011-03-15,693.0
619,8.0,2011-03-15,579.0
620,9.0,2011-03-15,529.0
621,10.0,2011-03-15,479.0
622,11.0,2011-03-15,12.0
623,12.0,2011-03-15,12.0
624,1.0,2011-03-16,4624.0
625,2.0,2011-03-16,2206.0
626,3.0,2011-03-16,1531.0
627,4.0,2011-03-16,1153.0
628,5.0,2011-03-16,985.0
629,6.0,2011-03-16,713.0
630,7.0,2011-03-16,693.0
631,8.0,2011-03-16,579.0
632,9.0,2011-03-16,529.0
633,10.0,2011-03-16,479.0
634,11.0,2011-03-16,12.0
635,12.0,2011-03-16,12.0
636,1.0,2011-03-17,4624.0
637,2.0,2011-03-17,2206.0
638,3.0,2011-03-17,1531.0
639,4.0,2011-03-17,1153.0
640,5.0,2011-03-17,985.0
641,6.0,2011-03-17,713.0
642,7.0,2011-03-17,693.0
643,8.0,2011-03-17,579.0
644,9.0,2011-03-17,529.0
645,10.0,2011-03-17,479.0
646,11.0,2011-03-17,12.0
647,12.0,2011-03-17,12.0
648,1.0,2011-03-18,4624.0
649,2.0,2011-03-18,2206.0
650,3.0,2011-03-18,1531.0
651,4.0,2011-03-18,1153.0
652,5.0,2011-03-18,985.0
653,6.0,2011-03-18,713.0
654,7.0,2011-03-18,693.0
655,8.0,2011-03-18,579.0
656,9.0,2011-03-18,529.0
657,10.0,2011-03-18,479.0
658,11.0,2011-03-18,12.0
659,12.0,2011-03-18,12.0
660,1.0,2011-03-19,4624.0
661,2.0,2011-03-19,2206.0
662,3.0,2011-03-19,1531.0
663,4.0,2011-03-19,1153.0
664,5.0,2011-03-19,985.0
665,6.0,2011-03-19,713.0
666,7.0,2011-03-19,693.0
667,8.0,2011-03-19,579.0
668,9.0,2011-03-19,529.0
669,10.0,2011-03-19,479.0
670,11.0,2011-03-19,12.0
671,12.0,2011-03-19,12.0
672,1.0,2011-03-20,4624.0
673,2.0,2011-03-20,2206.0
674,3.0,2011-03-20,1531.0
675,4.0,2011-03-20,1153.0
676,5.0,2011-03-20,985.0
677,6.0,2011-03-20,713.0
678,7.0,2011-03-20,693.0
679,8.0,2011-03-20,579.0
680,9.0,2011-03-20,529.0
681,10.0,2011-03-20,479.0
682,11.0,2011-03-20,12.0
683,12.0,2011-03-20,12.0
684,1.0,2011-03-21,4624.0
685,2.0,2011-03-21,2206.0
686,3.0,2011-03-21,1531.0
687,4.0,2011-03-21,1153.0
688,5.0,2011-03-21,985.0
689,6.0,2011-03-21,714.0
690,7.0,2011-03-21,693.0
691,8.0,2011-03-21,579.0
692,9.0,2011-03-21,530.0
693,10.0,2011-03-21,479.0
694,11.0,2011-03-21,12.0
695,12.0,2011-03-21,12.0
696,1.0,2011-03-22,4624.0
697,2.0,2011-03-22,2206.0
698,3.0,2011-03-22,1531.0
699,4.0,2011-03-22,1153.0
700,5.0,2011-03-22,985.0
701,6.0,2011-03-22,714.0
702,7.0,2011-03-22,693.0
703,8.0,2011-03-22,579.0
704,9.0,2011-03-22,530.0
705,10.0,2011-03-22,479.0
706,11.0,2011-03-22,12.0
707,12.0,2011-03-22,12.0
708,1.0,2011-03-23,4624.0
709,2.0,2011-03-23,2206.0
710,3.0,2011-03-23,1531.0
711,4.0,2011-03-23,1153.0
712,5.0,2011-03-23,985.0
713,6.0,2011-03-23,714.0
714,7.0,2011-03-23,693.0
715,8.0,2011-03-23,579.0
716,9.0,2011-03-23,530.0
717,10.0,2011-03-23,479.0
718,11.0,2011-03-23,12.0
719,12.0,2011-03-23,12.0
720,1.0,2011-03-24,4624.0
721,2.0,2011-03-24,2206.0
722,3.0,2011-03-24,1531.0
723,4.0,2011-03-24,1153.0
724,5.0,2011-03-24,985.0
725,6.0,2011-03-24,714.0
726,7.0,2011-03-24,693.0
727,8.0,2011-03-24,579.0
728,9.0,2011-03-24,530.0
729,10.0,2011-03-24,479.0
730,11.0,2011-03-24,12.0
731,12.0,2011-03-24,12.0
732,1.0,2011-03-25,4624.0
733,2.0,2011-03-25,2206.0
734,3.0,2011-03-25,1531.0
735,4.0,2011-03-25,1153.0
736,5.0,2011-03-25,985.0
737,6.0,2011-03-25,714.0
738,7.0,2011-03-25,693.0
739,8.0,2011-03-25,579.0
740,9.0,2011-03-25,530.0
741,10.0,2011-03-25,479.0
742,11.0,2011-03-25,12.0
743,12.0,2011-03-25,12.0
744,1.0,2011-03-26,4624.0
745,2.0,2011-03-26,2206.0
746,3.0,2011-03-26,1531.0
747,4.0,2011-03-26,1153.0
748,5.0,2011-03-26,985.0
749,6.0,2011-03-26,714.0
750,7.0,2011-03-26,693.0
751,8.0,2011-03-26,579.0
752,9.0,2011-03-26,530.0
753,10.0,2011-03-26,479.0
754,11.0,2011-03-26,12.0
755,12.0,2011-03-26,12.0
756,1.0,2011-03-27,4624.0
757,2.0,2011-03-27,2206.0
758,3.0,2011-03-27,1531.0
759,4.0,2011-03-27,1153.0
760,5.0,2011-03-27,985.0
761,6.0,2011-03-27,714.0
762,7.0,2011-03-27,693.0
763,8.0,2011-03-27,579.0
764,9.0,2011-03-27,530.0
765,10.0,2011-03-27,479.0
766,11.0,2011-03-27,12.0
767,12.0,2011-03-27,12.0
768,1.0,2011-03-28,4625.0
769,2.0,2011-03-28,2206.0
770,3.0,2011-03-28,1531.0
771,4.0,2011-03-28,1153.0
772,5.0,2011-03-28,985.0
773,6.0,2011-03-28,714.0
774,7.0,2011-03-28,693.0
775,8.0,2011-03-28,579.0
776,9.0,2011-03-28,530.0
777,10.0,2011-03-28,479.0
778,11.0,2011-03-28,12.0
779,12.0,2011-03-28,12.0
780,1.0,2011-03-29,4625.0
781,2.0,2011-03-29,2206.0
782,3.0,2011-03-29,1531.0
783,4.0,2011-03-29,1153.0
784,5.0,2011-03-29,985.0
785,6.0,2011-03-29,714.0
786,7.0,2011-03-29,693.0
787,8.0,2011-03-29,579.0
788,9.0,2011-03-29,530.0
789,10.0,2011-03-29,479.0
790,11.0,2011-03-29,12.0
791,12.0,2011-03-29,12.0
792,1.0,2011-03-30,4625.0
793,2.0,2011-03-30,2206.0
794,3.0,2011-03-30,1531.0
795,4.0,2011-03-30,1153.0
796,5.0,2011-03-30,985.0
797,6.0,2011-03-30,714.0
798,7.0,2011-03-30,693.0
799,8.0,2011-03-30,579.0
800,9.0,2011-03-30,530.0
801,10.0,2011-03-30,479.0
802,11.0,2011-03-30,12.0
803,12.0,2011-03-30,12.0
804,1.0,2011-03-31,4625.0
805,2.0,2011-03-31,2206.0
